"","Yo1","Yo2","Yp","Ym","Tp1","NTp1","Tm1","NTm1","Tp2","NTp2","Tm2","NTm2"
"Yo1",1.265,0.591,0.561,0.558,0.437,0.089,0.436,0.087,0.263,0.264,0.262,0.262
"Yo2",0.591,1.266,0.56,0.56,0.262,0.264,0.262,0.264,0.437,0.089,0.439,0.087
"Yp",0.561,0.56,1.266,0.001,0.436,0.438,0,0.002,0.436,0.438,0.002,0
"Ym",0.558,0.56,0.001,1.262,0.002,0.001,0.435,0.438,0.001,0.002,0.437,0.436
"Tp1",0.437,0.262,0.436,0.002,0.499,0.001,0,0.001,0.249,0.25,0,0
"NTp1",0.089,0.264,0.438,0.001,0.001,0.5,0.001,0.002,0.249,0.251,0.002,0
"Tm1",0.436,0.262,0,0.435,0,0.001,0.5,-0.001,0,0,0.25,0.248
"NTm1",0.087,0.264,0.002,0.438,0.001,0.002,-0.001,0.502,0.001,0.001,0.25,0.25
"Tp2",0.263,0.437,0.436,0.001,0.249,0.249,0,0.001,0.498,0,0,0.001
"NTp2",0.264,0.089,0.438,0.002,0.25,0.251,0,0.001,0,0.502,0.001,0
"Tm2",0.262,0.439,0.002,0.437,0,0.002,0.25,0.25,0,0.001,0.501,-0.001
"NTm2",0.262,0.087,0,0.436,0,0,0.248,0.25,0.001,0,-0.001,0.5
